command	aliases	provider	http_method	endpoint	request_body	target_fields	required_capability	required_permissions	operation_class	reversible	idempotent	async_task	guest_disruption	data_loss_risk	host_or_cluster_risk	retry_policy	confirmation_policy	dry_run_behavior	success_criteria	unknown_outcome_behavior	recovery	source_locations	test_locations
CreateFirewallIPSet		proxmox	POST	/cluster/firewall/ipset	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1835	client/provider/cli tests; see coverage ledger and test matrix
AddFirewallIPSetEntry		proxmox	POST	/cluster/firewall/ipset/{name}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1848	client/provider/cli tests; see coverage ledger and test matrix
RemoveFirewallIPSetEntry		proxmox	DELETE	/cluster/firewall/ipset/{name}/{cidr}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	yes	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1865	client/provider/cli tests; see coverage ledger and test matrix
DeleteFirewallIPSet		proxmox	DELETE	/cluster/firewall/ipset/{name}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1877	client/provider/cli tests; see coverage ledger and test matrix
CreateFirewallGroup		proxmox	POST	/cluster/firewall/groups	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1886	client/provider/cli tests; see coverage ledger and test matrix
DeleteFirewallGroup		proxmox	DELETE	/cluster/firewall/groups/{name}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1899	client/provider/cli tests; see coverage ledger and test matrix
UpdateFirewallOptions		proxmox	PUT	/cluster/firewall/options	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1908	client/provider/cli tests; see coverage ledger and test matrix
GetUsers		proxmox	GET	/access/users	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1937	client/provider/cli tests; see coverage ledger and test matrix
GetGroups		proxmox	GET	/access/groups	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1946	client/provider/cli tests; see coverage ledger and test matrix
GetRoles		proxmox	GET	/access/roles	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1955	client/provider/cli tests; see coverage ledger and test matrix
GetACL		proxmox	GET	/access/acl	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1964	client/provider/cli tests; see coverage ledger and test matrix
GetDomains		proxmox	GET	/access/domains	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1973	client/provider/cli tests; see coverage ledger and test matrix
GetTokens		proxmox	GET	/access/users/{user}/token	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1982	client/provider/cli tests; see coverage ledger and test matrix
CreateUser		proxmox	POST	/access/users	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1995	client/provider/cli tests; see coverage ledger and test matrix
DeleteUser		proxmox	DELETE	/access/users/{userid}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2020	client/provider/cli tests; see coverage ledger and test matrix
AddACL		proxmox	PUT	/access/acl	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2029	client/provider/cli tests; see coverage ledger and test matrix
GetCephStatus		proxmox	GET	/nodes/{node}/ceph/status	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2105	client/provider/cli tests; see coverage ledger and test matrix
GetCephOSDs		proxmox	GET	/nodes/{node}/ceph/osd	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2118	client/provider/cli tests; see coverage ledger and test matrix
GetCephMONs		proxmox	GET	/nodes/{node}/ceph/mon	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2131	client/provider/cli tests; see coverage ledger and test matrix
GetCephPools		proxmox	GET	/nodes/{node}/ceph/pool	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2144	client/provider/cli tests; see coverage ledger and test matrix
CreateOSD		proxmox	POST	/nodes/{node}/ceph/osd	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	service_affecting_mutation	varies	no	yes	yes	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2157	client/provider/cli tests; see coverage ledger and test matrix
OSDOut		proxmox	POST	/nodes/{node}/ceph/osd/{osdid}/out	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	service_affecting_mutation	varies	no	yes	yes	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2175	client/provider/cli tests; see coverage ledger and test matrix
OSDIn		proxmox	POST	/nodes/{node}/ceph/osd/{osdid}/in	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	service_affecting_mutation	varies	no	yes	yes	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2184	client/provider/cli tests; see coverage ledger and test matrix
DestroyOSD		proxmox	DELETE	/nodes/{node}/ceph/osd/{osdid}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	yes	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2193	client/provider/cli tests; see coverage ledger and test matrix
CreatePool		proxmox	POST	/nodes/{node}/ceph/pool	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	reversible_mutation	varies	no	yes	possible	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2206	client/provider/cli tests; see coverage ledger and test matrix
DestroyPool		proxmox	DELETE	/nodes/{node}/ceph/pool/{name}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2219	client/provider/cli tests; see coverage ledger and test matrix
CreateSDNZone		proxmox	POST	/cluster/sdn/zones	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2237	client/provider/cli tests; see coverage ledger and test matrix
DeleteSDNZone		proxmox	DELETE	/cluster/sdn/zones/{zone}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2245	client/provider/cli tests; see coverage ledger and test matrix
CreateSDNVNet		proxmox	POST	/cluster/sdn/vnets	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2251	client/provider/cli tests; see coverage ledger and test matrix
DeleteSDNVNet		proxmox	DELETE	/cluster/sdn/vnets/{vnet}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2259	client/provider/cli tests; see coverage ledger and test matrix
CreateSDNSubnet		proxmox	POST	/cluster/sdn/vnets/{vnet}/subnets	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2265	client/provider/cli tests; see coverage ledger and test matrix
DeleteSDNSubnet		proxmox	DELETE	/cluster/sdn/vnets/{vnet}/subnets/{subnet}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2277	client/provider/cli tests; see coverage ledger and test matrix
CreateSDNController		proxmox	POST	/cluster/sdn/controllers	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2283	client/provider/cli tests; see coverage ledger and test matrix
DeleteSDNController		proxmox	DELETE	/cluster/sdn/controllers/{ctrl}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2290	client/provider/cli tests; see coverage ledger and test matrix
GetReplicationJobs		proxmox	GET	/cluster/replication	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2298	client/provider/cli tests; see coverage ledger and test matrix
GetReplicationJob		proxmox	GET	/cluster/replication/{id}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2307	client/provider/cli tests; see coverage ledger and test matrix
CreateReplication		proxmox	POST	/cluster/replication	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2317	client/provider/cli tests; see coverage ledger and test matrix
UpdateReplication		proxmox	PUT	/cluster/replication/{id}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2339	client/provider/cli tests; see coverage ledger and test matrix
DeleteReplication		proxmox	DELETE	/cluster/replication/{id}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2364	client/provider/cli tests; see coverage ledger and test matrix
ScheduleReplication		proxmox	POST	/nodes/{node}/replication/{id}/schedule_now	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:2370	client/provider/cli tests; see coverage ledger and test matrix
